org_id,organization_name,screening_decision,twin_cities_presence,immigrant_refugee_relevance,civil_society_form,study_period_existence,unit_of_analysis_flag,evidence_summary,evidence_url_1,evidence_url_2,screening_notes
TC021,IAFR Jonathan House,eligible,yes,yes,faith_based_nonprofit_program,yes,program_under_parent_org,"Jonathan House is an IAFR program in Minneapolis-St. Paul providing shelter, supportive housing, practical assistance, and community connections specifically to asylum seekers and people recovering from forced displacement",https://jonathanhouse.org/,https://iafr.org/projects/jonathan-house,"Strong inclusion case; later decide whether coding unit is Jonathan House program or IAFR Minneapolis-St. Paul"
TC022,Lutheran Social Service of Minnesota - Refugee Services,eligible,yes,yes,nonprofit_program,yes,program_under_parent_org,"LSS Refugee Services explicitly serves refugees in the Twin Cities through case management, employment services, and immigration legal services; Minneapolis office documented",https://www.lssmn.org/services/refugees,https://www.lssmn.org/services/refugees/services/legal,"Strong inclusion case; treat Refugee Services as the relevant organizational program"
TC023,Missions Inc. Programs,probably_eligible,yes,yes_at_program_level,nonprofit,yes,program_level_relevance,"Missions Inc. is a broad nonprofit, but its Home Free Community Program includes a dedicated Immigrant and Refugee Program providing culturally specific domestic-violence advocacy and immigration-specific support",https://www.missionsinc.org/our-services/domestic-violence-services/,https://www.missionsinc.org/about-us/,"Retain provisionally; likely include only if communication can be attributed to the immigrant/refugee program rather than the parent organization generally"
TC024,Sakan,eligible,yes,yes,nonprofit_or_community_org,yes,standalone_organization,"Sakan Community Resources states that it focuses on immigrant families in Minnesota's seven-county Twin Cities area through homeownership, financial stability, civic engagement, and advocacy",https://www.sakanresources.org/,,"Strong inclusion case"
TC025,Twin Cities Habitat for Humanity,exclude,yes,no_or_incidental,nonprofit,yes,broad_service_org,"Twin Cities Habitat's current mission centers affordable homeownership and racial equity in housing across the seven-county metro. Noncitizens may be eligible, but immigrant/refugee communities are not an explicit or substantial organizational public",https://www.tchabitat.org/about,https://help.tchabitat.org/knowledge/program-eligibility,"Exclude under incidental-population rule"
TC026,Volunteers of America Minnesota and Wisconsin,exclude,yes,no_or_incidental,nonprofit,yes,broad_service_org,"VOA MN/WI operates broad programs for youth, older adults, people with disabilities, reentry, and other populations. Current organizational materials do not identify immigrant/refugee communities as a defining or substantial public",https://www.voamnwi.org/,https://www.voamnwi.org/contact-us,"Exclude under incidental-population rule"
TC027,ZACAH,eligible,yes,yes,faith_rooted_nonprofit,yes,standalone_organization,"ZACAH operates refugee rental assistance in Minnesota and works with Afghan Cultural Society, refugee resettlement agencies, community organizations, and state partners to support Afghan refugees with housing",https://www.zacah.org/refugee-rental-assistance,,"Strong inclusion case"
TC028,African Career Education and Resources Inc. (ACER),eligible,yes,yes,community_based_nonprofit,yes,standalone_organization,"ACER is a Twin Cities community-based organization founded to work with African immigrants and other BIPOC communities through housing, economic opportunity, health equity, civic engagement, and advocacy",https://acerinc.org/programs/,https://acerinc.org/,"Strong inclusion case"
TC029,African Community Services,eligible,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"African Community Services is an active Minneapolis nonprofit founded by Somali refugees and provides settlement, integration, advocacy, housing, employment, and other services to African immigrants and refugees across the Twin Cities",https://mn.gov/adresources/search/bd21f4b6-13d5-50ff-a3d2-bdf84656b450/?entry=topic_card,https://africancs.org/contact/,"Strong inclusion case"
TC030,African Development Center of Minnesota,eligible,yes,yes,nonprofit_community_development_org,yes,standalone_organization,"African Development Center is headquartered in Minneapolis and explicitly states a mission of economic empowerment for African immigrants and refugees through financial literacy, business development, homeownership, and micro-lending",https://www.adcminnesota.org/node/5,https://www.adcminnesota.org/home,"Strong inclusion case"
