org_id,organization_name,screening_decision,twin_cities_presence,immigrant_refugee_relevance,civil_society_form,study_period_existence,unit_of_analysis_flag,evidence_summary,evidence_url_1,evidence_url_2,screening_notes
TC061,Ukrainian American Community Center,eligible,yes,yes,nonprofit_community_center,yes,standalone_organization,"UACCMN is a Minneapolis-based nonprofit community center founded by Ukrainian immigrants. Its current mission explicitly includes empowering Ukrainian refugees, supporting integration of refugees and new immigrants, and providing refugee services; the official site reports more than 1,000 refugees served in 2023.",https://uaccmn.org/about/,https://uaccmn.org/,"Strong inclusion case"
TC062,AVIVO,eligible,yes,yes_at_program_level,nonprofit,yes,program_level_unit,"Avivo is a broad Minneapolis nonprofit, but Minnesota DHS currently lists it as a Resettlement Network Services partner, including Family Education Supports for people under humanitarian protection. Avivo also explicitly identifies new immigrants among priority populations in its employment services.",https://mn.gov/dhs/resettlement/provider-list/,https://avivomn.org/services/employment-services/,"Include at refugee/newcomer program level rather than treating the entire parent organization as immigration-focused"
TC063,Afghan Cultural Society,eligible,yes,yes,community_based_nonprofit,yes,standalone_organization,"Afghan Cultural Society is based in Minneapolis and explicitly serves Afghan diaspora/newcomer communities through peer-based resettlement support, family resource connectors, mental-health programs, education support, and cultural programming.",https://afghanculturalsociety.org/,https://mn.gov/dhs/resettlement/provider-list/,"Strong inclusion case"
TC064,The Advocates for Human Rights,eligible,yes,yes,nonprofit_legal_advocacy_org,yes,standalone_organization,"The Advocates for Human Rights is headquartered in Minneapolis and operates substantial migrant-rights and immigration legal work, including asylum representation, detained-immigrant assistance, trafficking and unaccompanied-minor cases, immigration policy advocacy, and current 2026 migrant-rights communications.",https://theadvocatesforhumanrights.org/,https://theadvocatesforhumanrights.org/Legal_Help/Asylum,"Strong inclusion case"
TC065,Volunteer Lawyers Network,eligible,yes,yes_at_program_level,nonprofit_legal_aid_org,yes,program_level_unit,"VLN is a Minneapolis 501(c)(3) providing civil legal aid across several areas, but it maintains a distinct immigration practice with immigration clinics, deportation-preparedness resources, know-your-rights materials, and Twin Cities immigration legal services.",https://www.vlnmn.org/volunteer/immigration/,https://www.vlnmn.org/help/,"Include at immigration-practice/program level rather than whole-organization level"
TC066,United Cambodian Association of Minnesota (UCAM),eligible,yes,yes,nonprofit_mutual_assistance_org,yes,standalone_organization,"UCAM is a Twin Cities nonprofit mutual-assistance organization formed from Cambodian/refugee organizations and dedicated to serving Cambodian immigrants, refugees, and other new Americans. Current Minnesota resource listings identify immigration advocacy and bilingual legal/benefits assistance.",https://www.ucam.info/,https://www.mn.gov/adresources/search/43085fe6-b8fd-53a8-aae7-683185e60be2/,"Strong inclusion case"
TC067,Immigrant Connection - Waite Park,eligible,yes,yes,faith_based_legal_program,yes,program_under_parent_org,"Immigrant Connection-Waite Park is a Minneapolis-based Department of Justice-recognized immigration legal-services program offering low-cost assistance with family petitions, naturalization, status adjustment, renewals, and related immigration matters.",https://www.waiteparkchurch.org/immigrant,https://www.waiteparkchurch.org/contact,"Include the Immigrant Connection program as the communication unit, not Waite Park Church generally"
TC068,Immigrant Connection Mosaic,eligible,yes,yes,faith_based_legal_program,yes,program_under_parent_org,"Immigrant Connection Mosaic is a St. Paul Department of Justice-recognized nonprofit immigration legal-services program offering low-cost legal assistance, citizenship classes, status adjustment, family petitions, DACA, TPS, and related services.",https://www.mosaicstpaul.org/learn-more,,"Include IC Mosaic as the unit rather than Mosaic Christian Community generally"
TC069,Hmong Cultural Center,eligible,yes,yes,community_based_nonprofit,yes,standalone_organization,"Hmong Cultural Center in St. Paul has offered free classes to immigrants and refugees for more than twenty years, including citizenship, ESL, occupational English, and integration-oriented education.",https://www.hmongcc.org/adult-basic-education.html,,"Strong inclusion case"
TC070,Hmong American Partnership,eligible,yes,yes,nonprofit_community_development_org,yes,standalone_organization,"Hmong American Partnership was founded and is led by immigrants and refugees, serves tens of thousands of people annually, and explicitly states that it addresses the needs of immigrants and refugees across the Twin Cities through employment, education, community support, and other programs.",https://hmong.org/about-us/,https://hmong.org/hap-impact-areas/hap-academy-oic/employment-services/,"Strong inclusion case"
