org_id,organization_name,screening_decision,twin_cities_presence,immigrant_refugee_relevance,civil_society_form,study_period_existence,unit_of_analysis_flag,evidence_summary,evidence_url_1,evidence_url_2,screening_notes
TC011,MORE,eligible,yes,yes,nonprofit,yes,standalone_organization,"Official site states MORE serves refugees, immigrants, and New Americans in St. Paul and provides education/support aimed at economic and social independence; Minnesota resource listing confirms refugees and immigrants are an explicit eligible population",https://www.more-empowerment.org/historyandmission,https://mn.gov/adresources/search/4b2d0f32-6bdd-589b-956e-f8a074619c17/,"Strong inclusion case"
TC012,MTA Center - Mothers Tutoring Academy,probably_eligible,yes,uncertain,organization_or_program,yes,needs_more_verification,"Current site confirms an active St. Paul tutoring/education organization, but its public mission is broadly focused on youth education and does not currently make immigrant/refugee communities explicit; retain provisionally because it entered the seed frame through immigrant-serving landscape research",https://mtacenter.org/,https://mtacenter.org/faqs/,"Needs stronger evidence that immigrants/refugees are a substantial public rather than incidental participants"
TC013,Sierra Leone Community in Minnesota,eligible,yes,yes,community_based_org,yes,standalone_organization,"Official site identifies SLCM as an umbrella organization serving Sierra Leonean and related West African communities in Minneapolis-St. Paul, with explicit immigrant-community collaboration and Twin Cities service geography",https://slcmn.org/,https://slcmn.org/about/,"Strong inclusion case"
TC014,Somali American Parent Association (SAPA),eligible,yes,yes,community_based_org,probable,standalone_organization,"Minnesota DHS cultural-provider directory identifies SAPA in Minneapolis and lists immigration legal services, parent education, cultural-crossing training, and student-success programs serving Somali families",https://mn.gov/dhs/assets/cultural-providers-resource-list_tcm1053-413784.pdf,,"Strong substantive fit; current study-period organizational activity should still be confirmed later"
TC015,Aeon,exclude,yes,no_or_incidental,nonprofit,yes,broad_service_org,"Aeon is an active Minneapolis 501(c)(3) affordable-housing nonprofit, but its current mission and public-facing materials are broad housing-focused and do not identify immigrants/refugees as an explicit or substantial organizational public",https://aeon.org/,https://aeon.org/about/,"Exclude from organizational universe under incidental-population rule; immigrants may be clients but are not a defined organizational public"
TC016,Bridging,exclude,yes,no_or_incidental,nonprofit,yes,broad_service_org,"Bridging is a Twin Cities 501(c)(3) furniture-bank/housing-stability nonprofit serving a broad low-income population; historical materials note immigrants/refugees among many client groups, but the current mission does not make them an explicit or substantial organizational public",https://bridging.org/,https://bloomington.minneapolischamber.org/list/member/bridging-11945,"Exclude under incidental-population rule"
TC017,Casa Guadalupana,eligible,yes,yes,faith_rooted_nonprofit,yes,standalone_organization,"Official site states Casa Guadalupana has served migrant families since 1999 and provides housing and support to people who fled war/persecution and are going through the U.S. asylum process; site identifies it as a tax-exempt charitable organization",https://www.casaguadalupana.org/,https://www.casaguadalupana.org/pagina-nueva,"Strong inclusion case"
TC018,East African Housing Services,exclude,yes,uncertain_or_not_explicit,commercial_or_health_service_provider,yes,organizational_form_mismatch,"Current public records identify East African Housing Services Inc. as an active Minneapolis community/behavioral-health and housing-support provider; available evidence does not establish nonprofit/civil-society status or an explicit immigrant/refugee public",https://www.hennepin.us/-/media/hennepinus/business/work-with-hennepin-county/current-future-providers/community-based-housing-support-provider-list.pdf,https://npiprofile.com/npi/1710347539,"Exclude under civil-society-form and population-relevance criteria unless later evidence establishes nonprofit immigrant-serving status"
TC019,Esperanza United,probably_eligible,yes,probable,nonprofit,yes,standalone_organization,"Official site confirms a St. Paul-origin nonprofit serving Latinas/Latin@ communities through domestic- and sexual-violence services. Immigrant relevance is plausible and likely substantial, but the current public mission is broader than immigration and does not by itself establish immigrants/refugees as an explicit organizational public",https://esperanzaunited.org/en/,,"Retain provisionally; later verify immigrant-specific programs/communications during study period"
TC020,Greater Metropolitan Housing Corporation,exclude,yes,no_or_incidental,nonprofit,yes,broad_service_org,"GMHC is a Twin Cities affordable-housing nonprofit serving low- and moderate-income individuals and families broadly; its current mission and state resource listing do not identify immigrant/refugee communities as an explicit or substantial organizational public",https://www.gmhchousing.org/about-us,https://mn.gov/adresources/search/b0ee61b1-18ad-5d5e-b2a6-bde6f73b57a6/,"Exclude under incidental-population rule"
