org_id,organization_name,screening_decision,twin_cities_presence,immigrant_refugee_relevance,civil_society_form,study_period_existence,unit_of_analysis_flag,evidence_summary,evidence_url_1,evidence_url_2,screening_notes
TC051,Somali Community Resettlement Services,eligible,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"Official site states a mission to advance the social well-being of immigrants and refugees through community and resettlement services; Minneapolis office serves the Twin Cities metro and state resource listings explicitly identify immigrant/refugee specialization",https://somalcrs.org/,https://helpmeconnect.web.health.state.mn.us/HelpMeConnect/Providers/Somali_Community_Resettlement_Services/Forms_Assistance/3,"Strong inclusion case"
TC052,Somali Success,eligible,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"Somali Success is a Minneapolis 501(c)(3) constituency-based organization whose mission explicitly centers immigrants and new refugees through education, advocacy, employment, citizenship, and support services",https://www.somalisuccess.org/about/mission/,https://www.somalisuccess.org/,"Strong inclusion case"
TC053,YMCA of the North - Immigrant and Refugee Support,eligible,yes,yes,nonprofit_program,yes,program_under_parent_org,"YMCA of the North operates New American Welcome Centers and Resettlement Network Services that explicitly support newcomers with resource navigation, integration, and immigration legal services in partnership with Minnesota's resettlement system",https://www.ymcanorth.org/impact/newcomer_support,https://mn.gov/dhs/resettlement/provider-list/,"Strong inclusion at program level; do not treat the entire YMCA portfolio as the sampling unit"
TC054,Alight,eligible,yes,yes,nonprofit_humanitarian_org,yes,standalone_or_local_hub,"Alight has a Minneapolis hub and during the study period directly supported refugee and immigrant families in Minnesota, including emergency response to Operation PARRIS and statewide resettlement-network coordination",https://www.wearealight.org/contact,https://www.wearealight.org/stories/supporting-our-minnesota-community,"Strong inclusion case; later decide whether to code Minneapolis/Minnesota communications as local hub material within the global organization"
TC055,CAPI USA,eligible,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"CAPI explicitly provides comprehensive support services for immigrants and refugees in the Twin Cities and operates the CAPI Immigrant Opportunity Center in Brooklyn Center",https://www.capiusa.org/,https://www.capiusa.org/services,"Strong inclusion case"
TC056,Karen Organization of Minnesota,eligible,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"KOM's mission explicitly centers refugee and immigrant communities; the organization is refugee-led, serves over 2,000 refugees and immigrants annually, and serves clients living in the Twin Cities",https://mnkaren.org/about/,https://mnkaren.org/,"Strong inclusion case"
TC057,Immigrant Law Center of Minnesota,eligible,yes,yes,nonprofit_legal_aid_org,yes,standalone_organization,"ILCM is a St. Paul-based nonprofit providing free immigration legal representation, education, and advocacy for low-income immigrants and refugees in Minnesota",https://www.ilcm.org/mission-history,,"Strong inclusion case"
TC058,Mid-Minnesota Legal Aid,eligible,yes,yes,nonprofit_program,yes,program_under_parent_org,"Mid-Minnesota Legal Aid's Immigration Law Project provides immigration representation including citizenship, permanent residency, youth cases, survivor petitions, and deportation defense; Minnesota DHS also lists MMLA as a resettlement-network legal partner in Minneapolis",https://mylegalaid.org/how-we-help/immigration/,https://mn.gov/dhs/resettlement/program-overviews/,"Strong inclusion at Immigration Law Project level"
TC059,Minnesota African Women Coalition,eligible,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"MNAWC identifies itself as an African immigrant-led 501(c)(3) community organization serving immigrant communities in the Minneapolis-Saint Paul Twin Cities through health, economic development, capacity building, and advocacy",https://www.mnawc.net/,https://www.mnawc.net/about,"Strong inclusion case"
TC060,SEWA-AIFW,eligible,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"SEWA-AIFW is a Brooklyn Center 501(c)(3) rooted in South Asian communities and refugee needs, provides culturally specific services, runs programs for newly arrived Afghan families under refugee resettlement programs, and is listed by Minnesota DHS as a resettlement network partner",https://www.sewa-aifw.org/our-story,https://www.sewa-aifw.org/what-we-do,"Strong inclusion case"
