org_id,organization_name,screening_decision,twin_cities_presence,immigrant_refugee_relevance,civil_society_form,study_period_existence,unit_of_analysis_flag,evidence_summary,evidence_url_1,evidence_url_2,screening_notes
TC001,Caring Friends Network,probably_eligible,unknown,probable,unknown,probable,needs_more_verification,"Previously identified in Wilder landscape scan as immigrant/refugee-serving education organization; current independent verification still needed",,,"Retain pending stronger current evidence"
TC002,Cedar Riverside Adult Education Collaborative,probably_eligible,yes,yes,collaboration,yes,collaboration_not_standalone,"Official site states CRAEC is a collaboration among Riverside Plaza Tenants Association, Brian Coyle Community Center, and Minneapolis Public Schools Adult Basic Education and serves adult immigrants and refugees in Cedar-Riverside",https://www.cedarriversideabe.org/about-us,https://www.metrostate.edu/community/engaged-learning/project-SHINE/community-partners,"Meets population and geography criteria, but later decide whether collaboration is a standalone communication unit"
TC003,Centro Tyrone Guzman,eligible,yes,yes,nonprofit,yes,standalone_organization,"Minneapolis-based Latine multi-service organization; official site documents community role and current communication concerning families affected by immigration enforcement",https://www.centromn.org/about,https://www.centromn.org/home,"Strong inclusion case"
TC004,East African Integration Center,probably_eligible,probable,probable,community_based_org,probable,needs_more_verification,"Seed-frame source identifies East African immigrant/refugee youth and family services; current independent verification still needed",,,"Retain pending current official-source check"
TC005,International Education Center,eligible,yes,yes,program_under_parent_org,yes,program_unit_to_review,"Official site states IEC is a downtown Minneapolis Adult Basic Education program whose mission is to help first-generation immigrants, refugees, and their families become independent and productive members of the Twin Cities community",https://iecminnesota.org/,https://iecminnesota.org/about-us,"Eligible population/geography; later decide whether to code IEC separately from its umbrella organization"
TC006,Ka Joog,probably_eligible,yes,probable,nonprofit_or_cbo,yes,standalone_organization,"Longstanding Minneapolis Somali/East African youth and family organization in seed universe; current official-source verification should be completed before final lock",,,"Retain pending one-source verification"
TC007,Keystone Community Services,probably_eligible,yes,uncertain,nonprofit,yes,broad_service_org,"St. Paul nonprofit with broad social-service mission; immigrant/refugee relevance appears program-specific rather than central",,,"Retain for now; later require evidence that immigrants/refugees are a substantial public rather than incidental beneficiaries"
TC008,Literacy Minnesota,probably_eligible,yes,probable,nonprofit,yes,broad_service_org,"Twin Cities adult-literacy nonprofit with extensive English-learning work; immigrant/refugee relevance is substantial but should be confirmed as explicit enough for this study's organizational universe",,,"Likely eligible but keep provisional until mission/program evidence is logged"
TC009,Minnesota Somali Community Center,eligible,yes,yes,nonprofit,yes,standalone_organization,"Official site identifies Minnesota Somali Community Center as a Minnesota 501(c)(3) nonprofit in Minneapolis providing immigration-related support, advocacy, workforce, housing, and other community services",https://mn-scc.org/,https://mnsomalicommunitycenter.org/?page_id=612,"Strong inclusion case; note current domain appears to be mn-scc.org"
TC010,Minnesota Africans United,eligible,yes,yes,nonprofit,yes,standalone_organization,"Official site identifies MAU as a 501(c)(3) coalition of African immigrants in Minnesota with a Brooklyn Park address and a mission centered on access to resources for African communities",https://www.mnafricansunited.org/,,"Strong inclusion case"
