record_id,organization_name,screening_decision,twin_cities_presence,immigrant_refugee_relevance,civil_society_form,study_period_existence,unit_of_analysis_flag,evidence_summary,evidence_url_1,evidence_url_2,communication_audit_note,screening_notes
D3-01,Community Services Agency of Minnesota (COMSA-MN),eligible,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"COMSA-MN is a 501(c)(3) established by refugees for refugees and immigrants in the Twin Cities and provides settlement, language, employment, legal, integration, health and emergency-support services",https://comsamn.org/,https://comsamn.org/who-we-are,"Official website exists; later inventory dated posts and social channels","Strong inclusion case"
D3-02,Southeast Asian Diaspora Project (SEAD),eligible,yes,yes,nonprofit_cultural_community_org,yes,standalone_organization,"SEAD is an active Minneapolis charity serving Khmer, Hmong, Lao and Vietnamese diaspora communities; 2025-26 projects explicitly document 50 years of Southeast Asian migration and community experience in Minnesota",https://www.ag.state.mn.us/charity/Search/CHR_GeneralInfo.asp?FederalID=474088420&Yr=CURR&cmdSearch=View,https://www.lrl.mn.gov/docs/2026/mandated/260254.pdf,"Likely rich storytelling and digital-content presence; audit official website/social channels","Eligible under immigrant-origin/diaspora community criterion"
D3-03,Bhutanese Community Organization of Minnesota,eligible,yes,yes,community_based_org,yes,standalone_organization,"BCOM serves the Twin Cities metro and explicitly specializes in refugees and immigrants, including Bhutanese refugee elders, English/citizenship classes, benefits help and community services",https://mn.gov/adresources/search/161bc9e2-415c-5719-8611-422995e8801c/?entry=search_card,https://helpmeconnect.web.health.state.mn.us/HelpMeConnect/Search/FamilyWell-BeingandMentalHealth/ProgramsForSpecificPopulations/CulturalOrganizations,"Official website exists; later assess study-period content retrieval","Strong inclusion case"
D3-04,Asian Women United of Minnesota,eligible,yes,yes_at_culturally_specific_level,nonprofit,yes,standalone_organization,"AWUM is a Minneapolis/Twin Cities nonprofit created to serve Asian Pacific Islander women and families; current mission is domestic-violence focused and multilingual, while Minnesota cultural-provider records also document immigration assistance",https://www.awum.org/mission,https://mn.gov/dhs/assets/cultural-providers-resource-list_tcm1053-413784.pdf,"Website has news archive and Facebook link; later determine whether immigration-enforcement communication exists","Include under culturally specific immigrant-origin community criterion, while noting immigration is not its sole mission"
D3-05,India Association of Minnesota,eligible,yes,yes_at_immigrant_origin_community_level,nonprofit,yes,standalone_organization,"IAM is a St. Paul-based 501(c)(3) representing Minnesota's Asian Indian community, with cultural, civic, outreach and government-relations functions; current 2026 site includes immigration-policy town-hall content",https://iamn.org/about/,https://iamn.org/,"Strong dated news archive; promising for later communication audit","Eligible under identifiable immigrant-origin community criterion"
D3-06,Fil-Minnesotan Association,probably_eligible,yes,yes_at_immigrant_origin_community_level,nonprofit,probable,needs_current_activity_verification,"FMA is a longstanding Plymouth/Twin Cities Filipino American nonprofit focused on education, culture and youth leadership and remains represented in the Philippine Center of Minnesota governance network",https://www.mnhs.org/mnopedia/search/index/group/fil-minnesotan-association,https://www.philcentermn.org/meet-the-team,"Need verify independent public communication activity during 2025-26","Retain provisionally pending current organizational and communication-status verification"
D3-07,Cultural Society of Filipino Americans,probably_eligible,probable,yes_at_immigrant_origin_community_level,community_cultural_org,probable,needs_current_activity_verification,"CSFA remains represented as an organizational member of the Philippine Center of Minnesota and serves the Filipino American cultural community, but current independent organizational/public-channel evidence still needs verification",https://www.philcentermn.org/meet-the-team,,"Later verify independent website/social accounts and study-period activity","Retain provisionally"
D3-08,Chinese American Association of Minnesota,probably_eligible,probable,yes_at_immigrant_origin_community_level,community_cultural_org,unknown,needs_current_activity_verification,"Identified through the Council on Asian Pacific Minnesotans discovery process as a Minnesota Chinese community organization; current independent organizational status, Twin Cities base and public communication activity require confirmation",,,"Website/social status must be verified","Retain in frame pending verification; do not exclude based on limited discovery evidence"
D3-09,The Urban Village,eligible,yes,yes,nonprofit_or_community_based_org,yes,standalone_organization,"The Urban Village is a St. Paul Karen and Karenni community space supporting culturally relevant youth/community programming, advocacy and solidarity; 2026 state materials identify its co-director as a founder of a Karen/Karenni rapid-response team during Operation Metro Surge/PARRIS",https://www.theurbanvillage.org/ourvillage,https://mn.gov/capm/community/heritagemonth/2026/2026.jsp,"Official site exists; rapid-response activity makes later social/web audit especially important","Strong inclusion case"
D3-10,Korean Association of Minnesota,probably_eligible,probable,yes_at_immigrant_origin_community_level,community_cultural_org,unknown,needs_current_activity_verification,"Identified through the Council on Asian Pacific Minnesotans as a Korean community organization in Minnesota, but current Twin Cities base, independent organizational status and 2025-26 public communication need verification",,,"Website/social presence must be verified","Retain provisionally"
D3-11,Association of Nepalis in Minnesota,eligible,yes,yes_at_immigrant_origin_community_level,nonprofit,yes,standalone_organization,"ANMN was formed by Nepalis in the Twin Cities, is a 501(c)(3), and maintains an active 2025-26 community calendar, board records and annual reports supporting the Nepali community in Minnesota",https://anmn.org/about-us/,https://anmn.org/our-story/,"Excellent organizational archive and current website; audit enforcement-related content later","Strong inclusion under immigrant-origin community criterion"
D3-12,Tibetan American Foundation of Minnesota,eligible,yes,yes,nonprofit,yes,standalone_organization,"TAFM is a 501(c)(3) founded to support Tibetan immigrant resettlement in Minnesota, has a St. Paul site and social-service functions, and posted a 2026 immigration-assistance program",https://tafm.org/about-us/,https://tafm.org/,"Strong current website/news archive; excellent candidate for study-period audit","Strong inclusion case"
