org_id,organization_name,screening_decision,twin_cities_presence,immigrant_refugee_relevance,civil_society_form,study_period_existence,unit_of_analysis_flag,evidence_summary,evidence_url_1,evidence_url_2,screening_notes
TC071,Lao Assistance Center of Minnesota,eligible,yes,yes,nonprofit_community_based_org,yes,standalone_organization,"Lao Assistance Center of Minnesota is a Minneapolis 501(c)(3) serving Lao and Southeast Asian immigrant/refugee communities through culturally specific support and community services",https://www.laocenter.org/contact,https://www.laocenter.org/,"Strong inclusion case"
TC072,Confederation of Somali Community in Minnesota,eligible,yes,yes,community_based_org,yes,standalone_organization,"CSCM is based in Minneapolis, serves the Twin Cities Somali/East African community, supports newcomers, provides translation and immigration services, and is listed by Minnesota resources as serving immigrants and refugees",https://csc-mn.org/,https://mn.gov/adresources/search/874d1832-4f93-5bcc-9e44-21f279f5b0e7/,"Strong inclusion case"
TC073,Center for Victims of Torture,eligible,yes,yes,nonprofit,yes,standalone_organization,"CVT is a St. Paul-based nonprofit serving torture survivors including refugees and asylum seekers; current 2026 statements document Minnesota-based asylum clients affected by immigration enforcement",https://www.cvt.org/,https://www.cvt.org/statements/four-cvt-clients-in-asylum-processes-have-been-detained-by-ice-and-flown-out-of-state/,"Strong inclusion case"
TC074,COPAL - Communities Organizing Latine Power and Action,eligible,yes,yes,nonprofit_community_org,yes,standalone_organization,"COPAL is a Minneapolis-centered Latine grassroots organization with explicit immigrant-worker organizing, immigration advocacy, and extensive public communication on immigration enforcement",https://copalmn.org/,https://copalmn.org/workers-center/,"Strong inclusion case"
TC075,Unidos MN,eligible,yes,yes,nonprofit_advocacy_org,yes,standalone_organization,"Unidos MN is an immigrant-led Minnesota organization rooted in the DREAMER and immigration-justice movements, with Minneapolis headquarters and major immigration-enforcement response work",https://unidos-mn.org/,https://unidos-mn.org/media,"Strong inclusion case"
TC076,Minnesota Interfaith Coalition on Immigration (ICOM),eligible,yes,yes,faith_based_nonprofit_or_network,yes,standalone_or_network_unit,"ICOM is headquartered in Minneapolis and explicitly organizes in solidarity with immigrants and refugees through advocacy, material aid, vigils, courtwatch, and anti-deportation work",https://mnicom.org/,,"Strong inclusion case; classify as faith-based coalition/network"
TC077,ISAIAH,eligible,yes,yes_at_campaign_level,faith_based_nonprofit_network,yes,immigrant_justice_campaign_within_broader_org,"ISAIAH is a statewide faith-based organizing network with deep Twin Cities roots and a long-standing immigrant-justice agenda; immigration is one major campaign area within a broader multiracial justice organization",https://www.isaiahmn.org/our-story,https://isaiahmn.org/membership/,"Include at immigrant-justice campaign/communication level rather than assuming all ISAIAH communication is in scope"
TC078,Jewish Community Action,eligible,yes,yes_at_campaign_level,faith_based_nonprofit,yes,immigrant_justice_campaign_within_broader_org,"Jewish Community Action is based in St. Paul and lists immigrant justice as a core campaign, including organizing to keep families together and oppose deportation",https://www.jewishcommunityaction.org/our-mission,https://www.jewishcommunityaction.org/decriminalizing-communities,"Include at immigrant-justice campaign/communication level"
TC079,Fe y Justicia MN,exclude,no,yes,nonprofit_community_based_org,yes,outside_geographic_scope,"Fe y Justicia explicitly organizes working-class immigrants but is based in St. Cloud and describes its work as centered in Central Minnesota rather than the Twin Cities",https://www.feyjusticiamn.com/,,"Exclude under Twin Cities geographic criterion unless later evidence establishes substantial metro operation"
TC080,Asamblea de Derechos Civiles,probably_eligible,probable,yes,faith_based_nonprofit,uncertain,needs_current_activity_verification,"Historical Minnesota legislative records identify Asamblea de Derechos Civiles as a statewide faith-based nonprofit organizing predominantly Latino immigrants for immigration-system change; current organizational activity and Twin Cities communication presence during the study period need verification",https://www.house.mn.gov/dflpdf/6ce9d8c7-b939-4dab-a744-dc1fb08f4a6d.pdf,,"Retain provisionally pending current-status and study-period verification"
