org_id,organization_name,screening_decision,twin_cities_presence,immigrant_refugee_relevance,civil_society_form,study_period_existence,unit_of_analysis_flag,evidence_summary,evidence_url_1,evidence_url_2,screening_notes
TC031,African Economic Development Solutions (AEDS),eligible,yes,yes,nonprofit_community_development_org,yes,standalone_organization,"AEDS is based in St. Paul and explicitly states that its mission is to build wealth within African immigrant communities through business development, lending, homeownership education, and community building",https://www.aeds-mn.org/about,https://www.aeds-mn.org/programs-and-services,"Strong inclusion case"
TC032,AFDN / African Families Development Network,probably_eligible,yes,yes,nonprofit,probable,standalone_organization,"Current nonprofit records identify African Families Development Network as a Minneapolis 501(c)(3) classified under ethnic/immigrant centers and services, with a mission focused on African immigrant families; however, the organization's current web presence/activity during the study period is unclear and Minnesota DHS provider-exclusion records warrant caution",https://projects.propublica.org/nonprofits/organizations/263038494,https://www.charitynavigator.org/ein/263038494,"Retain provisionally pending confirmation of active study-period organizational operations and public communication"
TC033,African Immigrants Community Services (AICS),eligible,yes,yes,community_based_nonprofit,yes,standalone_organization,"AICS explicitly serves African immigrants and refugees in the Twin Cities and provides county-assistance navigation, language support, employment services, cultural orientation, and refugee services",https://aicsmn.org/,https://aicsmn.org/welcome-to-aics/,"Strong inclusion case"
TC034,Al-Maa'uun,probably_eligible,yes,probable,faith_rooted_nonprofit,yes,standalone_organization,"Al-Maa'uun is a Minneapolis 501(c)(3) faith-rooted service organization. Its current mission centers poverty, recovery, housing, employment, and Black/communities of color rather than immigration specifically, although community directories classify it under immigrant/refugee services and it is embedded in a multiethnic Muslim community",https://almaauun.org/about-us/,https://handsontwincities.galaxydigital.com/agency/detail/?agency_id=132772,"Retain provisionally; later require evidence that immigrant/refugee communities are a substantial organizational public rather than incidental beneficiaries"
TC035,Arrive Ministries,eligible,yes,yes,faith_based_nonprofit,yes,standalone_organization,"Arrive Ministries is a Richfield-based refugee resettlement agency and 501(c)(3) that explicitly serves refugees and immigrants in the Twin Cities through resettlement, employment, education, volunteer connection, and DOJ-recognized immigration legal services",https://arriveministries.org/who-we-are/,https://arriveministries.org/immigration-legal-services/,"Strong inclusion case"
TC036,Catholic Charities Twin Cities,exclude,yes,no_or_incidental_currently,nonprofit,yes,broad_service_org,"Catholic Charities is an active Twin Cities nonprofit and communicated about immigration enforcement in 2026, but its dedicated refugee reception and placement program closed permanently in 2018 and its current service portfolio is broad housing, shelter, child/family, disability, and homelessness work rather than an immigrant/refugee-serving organizational mission",https://old.cctwincities.org/locations/refugee-reception-placement/,https://cctwincities.org/services-and-locations/,"Exclude from the core organizational universe under the current mission/population rule; preserve separately as a potentially relevant study-period communicator if the design later broadens beyond immigrant-serving organizations"
TC037,CommonBond Communities,exclude,yes,no_or_incidental,nonprofit,yes,broad_service_org,"CommonBond is a St. Paul-based affordable-housing nonprofit serving adults, families, older adults, veterans, and people with disabilities. Some residents are immigrants/refugees, but they are not an explicit or substantial organizational public in the current mission",https://commonbond.org/find-a-home/,https://www.hennepincounty.gov/housing/hennepin-county-housing-stories/innovative-development-integrates-affordable-housing,"Exclude under incidental-population rule"
TC038,Comunidades Latinas Unidas En Servicio (CLUES),eligible,yes,yes,Latino_led_nonprofit,yes,standalone_organization,"CLUES is Minnesota's largest Latino-led nonprofit, with offices in St. Paul and Minneapolis, providing culturally and linguistically relevant services and systemic-change work for Latino communities",https://clues.org/,https://clues.org/about/,"Strong inclusion case as an identifiable immigrant-origin community organization even though its mission is framed broadly around Latinos rather than immigration status"
TC039,Darul Uloom Center,eligible,yes,yes,nonprofit_faith_community_org,yes,standalone_organization,"Darul Uloom Center in St. Paul explicitly states that it helps refugees and immigrants through skill/literacy programs and provides immigration, interpretation, and citizenship services",https://darululoomcenter.org/nonprofit-organization-core-programs,,"Strong inclusion case"
TC040,Igbo Women League of Minnesota,eligible,yes,yes,ethnocultural_nonprofit,yes,standalone_organization,"Igbo Women League of Minnesota is a Brooklyn Center 501(c)(3) founded by Igbo women and serving Igbo/African-origin women and families in Minnesota through cultural, educational, health, youth, and community programs",https://igbowomenleaguemn.org/,https://igbowomenleaguemn.org/about-us,"Strong inclusion case as an identifiable immigrant-origin ethnocultural organization"
