org_id,organization,website,website_check_status,first_party_social_links_found,first_party_channels_or_urls,secondary_verified_channels,archive_note,audit_date
TC041,International Institute of Minnesota,https://iimn.org/,first_party_social_links_verified,"Facebook; Instagram; LinkedIn","Official IIMN site embeds social links; verified accounts already recorded in social platform registry",,"First-party confirmation already incorporated in master social platform registry. Historical study-window post enumeration remains partial.",2026-09-22
TC042,Isuroon,https://isuroon.org/,first_party_social_links_verified,"X/Twitter; Facebook; Instagram; LinkedIn; Snapchat; YouTube","Official Isuroon newsletter explicitly lists X, Facebook, Instagram, LinkedIn, Snapchat, and YouTube as organizational social media platforms",,"Strong first-party platform confirmation from organization-hosted newsletter. Exact current canonical account URLs should be resolved separately.",2026-09-22
TC043,Minnesota African Women's Association,http://mawanet.org/,checked_no_machine_readable_social_links,none_exposed,,,"No first-party social destinations recovered in current indexed-site pass. Continue legacy-site/source inspection and canonical platform verification.",2026-09-22
TC044,Minnesota Council of Churches - Refugee Services,https://www.mnchurches.org/what-we-do/refugee-services,checked_no_machine_readable_social_links,none_exposed,,,"Refugee Services page is first-party but did not expose social destinations in current retrieved text. Organization-wide MCC channels should be verified separately and program-level attribution preserved.",2026-09-22
TC045,Neighborhood House,https://neighborhoodhousemn.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official site retrieved but no social URLs exposed in current text extraction. Continue footer/source and canonical platform verification.",2026-09-22
TC046,New American Development Center,https://www.nadcmn.org/,checked_no_machine_readable_social_links,none_exposed,,,"No defensible first-party social URLs recovered in current pass. Continue footer/source inspection and secondary verification.",2026-09-22
TC047,Oromo Community of Minnesota,https://oromomn.org/,checked_no_machine_readable_social_links,none_exposed,,,"No first-party social destinations recovered in current indexed-site pass. Continue source/footer inspection and canonical platform verification.",2026-09-22
TC048,Our Saviour's Community Services,https://oscs-mn.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official site is active and current but social destinations were not exposed in retrieved text. Continue first-party source/footer inspection and independent canonical-account verification.",2026-09-22
TC049,PRISM,https://prismmpls.org/,checked_no_machine_readable_social_links,none_exposed,,,"No social destinations recovered from the current first-party indexed-site pass. Continue footer/source and secondary verification.",2026-09-22
TC050,Project for Pride in Living,https://www.ppl-inc.org/,first_party_social_presence_partial,"YouTube embedded on official site","Official PPL program pages embed YouTube video players; broader platform accounts already independently verified in social registry",,"First-party site confirms active YouTube use but exact channel URL is not resolved in this pass. Existing Facebook/X/LinkedIn registry evidence remains separate until first-party site confirmation is obtained.",2026-09-22
