org_id,organization,website,website_check_status,first_party_social_links_found,first_party_channels_or_urls,secondary_verified_channels,archive_note,audit_date
TC021,IAFR Jonathan House,https://jonathanhouse.org/,first_party_social_presence_partial,"Facebook referenced on official site","Facebook channel confirmed by official Jonathan House site references; exact canonical page URL unresolved in this pass",,"Official site documents active use of a Jonathan House Facebook page in organizational communications history. Current footer/account URL still requires resolution; historical study-window enumeration remains separate.",2026-09-22
TC022,Lutheran Social Service of Minnesota - Refugee Services,https://www.lssmn.org/services/refugees,first_party_social_links_verified,"Facebook; X/Twitter; Instagram; YouTube; LinkedIn","Refugee Services pages explicitly list Facebook and X/Twitter; broader official LSS site also lists Instagram, YouTube, and LinkedIn",,"Official LSS Refugee Services site verifies Facebook and X/Twitter directly. Organization-wide LSS pages verify additional Instagram, YouTube, and LinkedIn channels. Program-level attribution of individual posts must be assessed separately.",2026-09-22
TC023,Missions Inc. Programs,https://www.missionsinc.org,first_party_social_links_verified,"Facebook; X/Twitter; Instagram; LinkedIn","Official Missions Inc. materials explicitly list Facebook, Twitter/X, Instagram, and LinkedIn; exact canonical account URLs unresolved in this pass",,"First-party annual-report material confirms four social platforms. Historical Nov. 2025-Mar. 2026 post enumeration remains separate.",2026-09-22
TC024,Sakan,https://sakanresources.org/ABOUT_US,checked_no_machine_readable_social_links,none_exposed,,,"No first-party social URLs were exposed in current retrievable site text. Continue source/footer inspection and secondary verification; do not infer no social presence.",2026-09-22
TC025,Twin Cities Habitat for Humanity,https://www.tchabitat.org,first_party_social_links_verified,"Facebook; Instagram; LinkedIn; X/Twitter; YouTube","Official Habitat site explicitly instructs users to follow on Facebook, Instagram, LinkedIn, X, and YouTube; current handles include Facebook/Instagram/X @tchabitat and LinkedIn Twin Cities Habitat for Humanity",,"Strong first-party platform confirmation. Historical study-window post census remains separate from account verification.",2026-09-22
TC026,Volunteers of America Minnesota and Wisconsin,https://www.voamnwi.org/,first_party_social_links_verified,"Facebook; Instagram; LinkedIn","Official VOA MN/WI social-media page explicitly lists organization Facebook, Instagram, and LinkedIn accounts",,"First-party social-media directory page provides direct platform confirmation. Historical study-window enumeration remains incomplete.",2026-09-22
TC027,ZACAH,https://www.zacah.org,checked_no_machine_readable_social_links,none_exposed,,,"No first-party social URLs were recovered in current site-index pass. Continue footer/source inspection and canonical platform verification; absence is not evidence of no account.",2026-09-22
TC028,African Career Education and Resources Inc. (ACER),https://www.acerinc.org/about,first_party_social_presence_partial,"Facebook referenced on official site","Official ACER pages reference organizational/community use of Facebook and direct readers to Facebook for event photos; exact account URL unresolved in this pass",,"First-party site confirms Facebook is part of ACER's communication ecology, but canonical account URL and additional platforms still need resolution.",2026-09-22
TC029,African Community Services,https://africancs.org/,checked_follow_us_section_no_urls_exposed,"Follow Us section present; platform URLs not exposed in retrieved text",,,"Official contact page has a Follow Us section but the retrieved text does not expose platform destinations. Continue HTML/footer inspection and secondary verification.",2026-09-22
TC030,African Development Center of Minnesota,https://www.adcminnesota.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official site/contact page retrieved but no social URLs were exposed in current text extraction. Continue source/footer inspection and secondary platform verification.",2026-09-22
