org_id,organization,website,website_check_status,first_party_social_links_found,first_party_channels_or_urls,secondary_verified_channels,archive_note,audit_date
TC071,Lao Assistance Center of Minnesota,,website_unresolved,not_assessable,,,"No verified official website was present in the master registry. Identify first-party website or official link hub before website-first account verification; secondary platform discovery may proceed in parallel.",2026-09-22
TC072,Confederation of Somali Community in Minnesota,https://csc-mn.org/,checked_no_machine_readable_social_links,none_exposed,,,"Current official website was verified and is active, but no social URLs were exposed in retrieved text. Continue footer/source inspection and canonical platform verification; absence is not evidence of no social presence.",2026-09-22
TC073,Center for Victims of Torture,https://www.cvt.org/,first_party_social_presence_verified,"Official Follow Us section present; LinkedIn, Facebook, X/Twitter already canonically verified","Canonical channels already verified separately: LinkedIn https://www.linkedin.com/company/center-for-victims-of-torture/ ; Facebook https://www.facebook.com/CenterForVictimsOfTorture ; X/Twitter https://twitter.com/cvt_staff",,"Official CVT site has a dedicated Follow Us section, supporting first-party account ownership. Resolve any additional platform destinations from the site markup in a later pass; historical study-window enumeration remains separate.",2026-09-22
TC074,COPAL - Communities Organizing Latine Power and Action,https://copalmn.org/,first_party_social_links_verified,"Facebook; Instagram; X/Twitter; LinkedIn; BlueSky","Official COPAL newsletters explicitly invite readers to follow on Facebook, Instagram, Twitter/X, and LinkedIn; a 2025 first-party newsletter announces BlueSky @copalmn.bsky.social",,"Strong first-party confirmation of five channels. Exact canonical URLs for unresolved channels and historical study-window posts remain to enumerate.",2026-09-22
TC075,Unidos MN,https://unidos-mn.org/,checked_no_machine_readable_social_links,none_exposed,"LinkedIn company account and one study-window organization post already verified; several additional LinkedIn candidates remain unresolved","Official website did not expose social URLs in current retrieval. Preserve existing canonical LinkedIn evidence and continue first-party footer/source and other-platform discovery.",2026-09-22
TC076,Minnesota Interfaith Coalition on Immigration (ICOM),https://mnicom.org/,checked_no_machine_readable_social_links,none_exposed,,,"No first-party social URLs recovered in current site-index pass. Continue footer/source inspection and canonical platform verification; do not infer no social presence.",2026-09-22
TC077,ISAIAH,https://isaiahmn.org/,first_party_social_presence_verified,"Facebook; X/Twitter documented in official content","Official ISAIAH newsletters directly link readers to Facebook and Twitter/X actions and include Follow Us / Like Our Page prompts",,"First-party site confirms social-media use. Resolve current canonical URLs and additional platforms in a later pass; historical study-window enumeration remains separate.",2026-09-22
TC078,Jewish Community Action,https://www.jewishcommunityaction.org/,checked_no_machine_readable_social_links,none_exposed,,,"No first-party social URLs recovered in current site-index pass. Continue footer/source inspection and canonical platform verification; absence is not evidence of no social account.",2026-09-22
TC079,Fe y Justicia MN,https://www.feyjusticiamn.com/,website_verified_geography_flag,none_exposed,"LinkedIn canonical company page independently verified: https://www.linkedin.com/company/fe-y-justicia-mn","Current first-party site identifies the organization with Waite Park/St. Cloud addresses and describes its work as Central Minnesota-focused. Flag for geographic eligibility reconciliation before treating as a Twin Cities census unit. Social links were not exposed in retrieved site text.",2026-09-22
TC080,Asamblea de Derechos Civiles,,website_unresolved_historical_facebook_lead,not_assessable,"Historical Facebook presence documented in external academic research: https://www.facebook.com/asamblea.dederechosciviles","Historical Facebook evidence exists, but current official website/account continuity during Nov. 2025-Mar. 2026 is unresolved. Do not treat the historical page as current without verification.","Need identify current first-party organizational presence and verify study-period activity before social census inclusion.",2026-09-22
