org_id,organization,website,website_check_status,first_party_social_links_found,first_party_channels_or_urls,secondary_verified_channels,archive_note,audit_date
TC031,African Economic Development Solutions (AEDS),https://www.aeds-mn.org/about,checked_no_machine_readable_social_links,none_exposed,,,"Official site retrieved in current audit but no social destinations were exposed in searchable page text. Continue footer/source inspection and canonical platform verification.",2026-09-22
TC032,AFDN,https://afdnminnesota.org/,checked_no_machine_readable_social_links,none_exposed,,,"No defensible first-party social URLs recovered in current pass; continue source/footer and secondary verification. Absence is not evidence of no account.",2026-09-22
TC033,African Immigrants Community Services (AICS),https://aicsmn.org/,first_party_social_links_verified,"Facebook; X/Twitter","Official AICS Events page explicitly lists AICS Facebook Page and AICS Twitter Page; donation page directs users to follow organizational social media",,"Strong first-party confirmation of Facebook and X/Twitter. Exact canonical target URLs still require extraction/resolution; historical study-window post enumeration remains separate.",2026-09-22
TC034,Al-Maa'uun,https://www.almaauun.org/,checked_no_machine_readable_social_links,none_exposed,,,"No first-party social URLs recovered from current indexed site pass. Continue footer/source inspection and secondary verification.",2026-09-22
TC035,Arrive Ministries,https://arriveministries.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official site is active and current but retrieved page text did not expose social destinations in this pass. Continue first-party footer/source inspection and canonical platform verification.",2026-09-22
TC036,Catholic Charities Twin Cities,https://cctwincities.org/,checked_no_machine_readable_social_links,none_exposed,,,"No defensible first-party social URLs recovered in current indexed-site pass. Continue source/footer and secondary account verification.",2026-09-22
TC037,CommonBond Communities,https://commonbond.org/,first_party_social_links_verified,"Facebook; Instagram; X/Twitter; LinkedIn; YouTube","First-party CommonBond campaign/newsletter materials explicitly identify Facebook @CommonBondCommunities, Instagram @commonbondcomm, X/Twitter @CommonBondComm, LinkedIn CommonBond Communities, and display YouTube among official social channels",,"Strong first-party platform confirmation. Current canonical URLs should be resolved separately before post enumeration.",2026-09-22
TC038,Comunidades Latinas Unidas En Servicio (CLUES),https://clues.org/,checked_no_machine_readable_social_links,none_exposed,,,"No social destinations were exposed in the current first-party indexed-site pass. Continue footer/source inspection and canonical platform verification.",2026-09-22
TC039,Darul Uloom Center,http://www.darululoomcenter.org/,checked_no_machine_readable_social_links,none_exposed,,,"No first-party social URLs recovered in current pass. Continue source/footer inspection and secondary search; do not infer no social presence.",2026-09-22
TC040,Igbo Women League of Minnesota,http://www.sussmike.com/Home.aspx,website_legacy_or_low_retrievability,not_assessable,,,"Legacy website structure provides limited retrievable evidence in current pass. Social channels require independent current verification; treat as audit limitation rather than no-account finding.",2026-09-22
