org_id,organization,website,website_check_status,first_party_social_links_found,first_party_channels_or_urls,secondary_verified_channels,archive_note,audit_date
TC011,MORE,https://www.more-empowerment.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official website checked; no social URLs exposed in retrieved text. Continue footer/source inspection and canonical platform search.",2026-09-22
TC012,MTA Center - Mothers Tutoring Academy,https://mtacenter.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official website checked; no social URLs exposed in retrieved text. Continue first-party/source inspection.",2026-09-22
TC013,Sierra Leone Community in Minnesota,https://slcmn.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official site retrieved and current; social links were not exposed in machine-readable text. Continue footer/source and canonical-platform verification.",2026-09-22
TC014,Somali American Parent Association (SAPA),https://www.facebook.com/mnsapa/,first_party_platform_is_registry_website,Facebook,"Facebook: https://www.facebook.com/mnsapa/",,"Master registry identifies the Facebook page itself as SAPA's public web presence. Historical study-window enumeration remains separate.",2026-09-22
TC015,Aeon,https://www.aeon.org/homepage/everyone-deserves-a-home/,checked_no_machine_readable_social_links,none_exposed,,,"Official website checked; no social URLs exposed in retrieved text in this pass. Continue site-source and canonical-platform verification.",2026-09-22
TC016,Bridging,https://bridging.org/,first_party_social_channels_verified,"Facebook; LinkedIn; Instagram; YouTube","Official Bridging materials display Facebook, LinkedIn, Instagram and YouTube icons. Older first-party Bridging guide identifies Facebook BridgingMN, Twitter/X @BridgingMN and YouTube BridgingMN; exact current Instagram/LinkedIn target URLs remain to resolve.",,"First-party materials confirm multi-platform presence. Historical Nov. 2025-Mar. 2026 post enumeration remains separate.",2026-09-22
TC017,Casa Guadalupana,https://www.casaguadalupana.org,checked_no_machine_readable_social_links,none_exposed,,,"Official website checked; no social URLs exposed in retrieved text. Continue first-party/source inspection.",2026-09-22
TC018,East African Housing Services,https://eastafricanhousingservices.com/,checked_no_machine_readable_social_links,none_exposed,,,"Official website checked; no social URLs exposed in retrieved text. Continue canonical-platform search.",2026-09-22
TC019,Esperanza United,https://esperanzaunited.org/en/,checked_no_machine_readable_social_links,none_exposed,,,"Official site and contact/about pages retrieved, but social URLs were not exposed in machine-readable text in this pass. Continue footer/source inspection and platform verification.",2026-09-22
TC020,Greater Metropolitan Housing Corporation,http://www.gmhchousing.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official site and contact page retrieved; no social URLs exposed in machine-readable text. Continue canonical-platform verification.",2026-09-22
