org_id,organization,website,website_check_status,first_party_social_links_found,first_party_channels_or_urls,secondary_verified_channels,archive_note,audit_date
TC001,Caring Friends Network,http://caringfriendsnetwork.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official website/social links require deeper manual/source inspection; absence here is not evidence of no social account.",2026-09-22
TC002,Cedar Riverside Adult Education Collaborative,https://adulteducation.riversideplaza.net/,checked_no_machine_readable_social_links,none_exposed,,,"Official website/social links require deeper manual/source inspection; absence here is not evidence of no social account.",2026-09-22
TC003,Centro Tyrone Guzman,https://www.centromn.org/,checked_no_machine_readable_social_links,none_exposed,,"LinkedIn: https://www.linkedin.com/company/centro-tyrone-guzman ; Instagram lead: https://www.instagram.com/centrominnesota/","Website is active but social icons/links were not exposed in retrieved page text. LinkedIn is independently verified by canonical company page; Instagram remains secondary-source verified until first-party link is recovered.",2026-09-22
TC004,East African Integration Center,https://www.eafricic.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official site retrieved; no social URLs exposed in text. Continue source/HTML/footer inspection and secondary search.",2026-09-22
TC005,International Education Center,https://iecminnesota.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official site retrieved; no social URLs exposed in text. Continue source/HTML/footer inspection and secondary search.",2026-09-22
TC006,Ka Joog,https://www.kajoog.org/,website_fetch_redirect_error,not_assessable,,,"Website request redirected to an unrelated/unsafe host in current retrieval. Treat as website-audit limitation and verify channels through official cached pages/link hubs/canonical platform pages.",2026-09-22
TC007,Keystone Community Services,https://keystoneservices.org/,robots_blocked,not_assessable,,,"Website blocked by robots in current retrieval. Do not infer absence of social channels; verify via first-party cached pages and canonical platform pages.",2026-09-22
TC008,Literacy Minnesota,https://www.literacymn.org/,checked_no_machine_readable_social_links,none_exposed,,"LinkedIn: https://www.linkedin.com/company/literacy-minnesota","Official website and contact page retrieved but social URLs were not exposed in machine-readable page text. Canonical LinkedIn company page independently verifies organizational account.",2026-09-22
TC009,Minnesota Somali Community Center,https://mnsomalicommunitycenter.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official website retrieved; no social URLs exposed in machine-readable text. Continue first-party/source inspection and secondary search.",2026-09-22
TC010,Minnesota Africans United,https://www.mnafricansunited.org/,first_party_social_links_verified,"Facebook; Instagram; X/Twitter; LinkedIn icon; YouTube icon","Facebook: https://www.facebook.com/MNAfricansUnited/ ; Instagram: https://www.instagram.com/mnafricansunited/ ; X/Twitter: https://twitter.com/MNAfricans ; LinkedIn and YouTube icons are embedded on the official site but exact target URLs remain unresolved in this pass",,"Official MAU website explicitly lists Facebook, Twitter/X and Instagram URLs and displays footer icons for Facebook, Instagram, LinkedIn, X and YouTube. Historical study-window post enumeration remains separate.",2026-09-22
