org_id,organization,website,website_check_status,first_party_social_links_found,first_party_channels_or_urls,secondary_verified_channels,archive_note,audit_date
TC061,Ukrainian American Community Center,https://uaccmn.org/,first_party_social_presence_partial,"Follow us section; YouTube embedded","Official UACC site has a Follow us section and embeds YouTube content; exact canonical social account URLs were not exposed in current retrieval",,"First-party site confirms active social-media integration. Resolve exact platform destinations in a later source/footer pass; historical study-window enumeration remains separate.",2026-09-22
TC062,AVIVO,https://avivomn.org/,first_party_social_links_verified,"Facebook; Instagram; X/Twitter; BlueSky; LinkedIn","Official Avivo Give to the Max page instructs users to share Avivo posts on Facebook, Instagram, Twitter/X, BlueSky, and LinkedIn",,"Strong first-party confirmation of five social platforms. Exact canonical URLs and historical study-window posts remain to enumerate.",2026-09-22
TC063,Afghan Cultural Society,https://www.afghanculturalsociety.org/,checked_no_machine_readable_social_links,none_exposed,,,"Official site search did not expose social URLs in retrievable text. Continue footer/source inspection and canonical platform verification; absence is not evidence of no social presence.",2026-09-22
TC064,The Advocates for Human Rights,https://www.theadvocatesforhumanrights.org/,first_party_social_presence_verified,"Facebook; X/Twitter; LinkedIn; YouTube; Instagram documented in first-party materials","Official Advocates publications and email examples document organizational use of Facebook, Twitter/X, LinkedIn, YouTube, and Instagram. Existing canonical account URLs are already verified separately in the platform registry.",,"First-party historical materials plus current canonical accounts support multi-platform verification. Continue historical Nov. 2025-Mar. 2026 enumeration.",2026-09-22
TC065,Volunteer Lawyers Network,https://www.vlnmn.org/,checked_no_machine_readable_social_links,none_exposed,,,"No first-party social URLs recovered in current site-index pass. Continue source/footer inspection and canonical platform verification; do not infer no social presence.",2026-09-22
TC066,United Cambodian Association of Minnesota (UCAM),https://www.ucam.info,checked_no_machine_readable_social_links,none_exposed,,,"No first-party social URLs recovered in current retrieval. Continue source/footer inspection and canonical platform verification.",2026-09-22
TC067,Immigrant Connection - Waite Park,https://www.waiteparkchurch.org/immigrant,first_party_social_links_verified,"Facebook; Instagram; YouTube","Official Waite Park Church site footer exposes Facebook, Instagram, and YouTube links",,"These are church-level channels; individual study-period posts must be attributable to the Immigrant Connection program or otherwise clearly relevant before inclusion in program-level analysis.",2026-09-22
TC068,Immigrant Connection Mosaic,https://www.mosaicstpaul.org/learn-more,checked_no_machine_readable_social_links,none_exposed,,,"No social URLs recovered in current site-index pass. Continue first-party footer/source inspection and canonical platform verification; program-level attribution required.",2026-09-22
TC069,Hmong Cultural Center,https://www.hmongcc.org/,checked_no_machine_readable_social_links,none_exposed,,,"No first-party social URLs recovered in current site-index pass. Continue footer/source inspection and canonical platform verification.",2026-09-22
TC070,Hmong American Partnership,https://www.hmong.org/,checked_no_machine_readable_social_links,none_exposed,"LinkedIn organization account already verified via canonical platform and one study-window post collected","Official site did not expose social URLs in current retrieval. Existing LinkedIn evidence remains valid; continue first-party source/footer and other-platform discovery.",2026-09-22
